W,C,CO2%,T,RH,ET,WA,R,CA,MFS,MCS,SP,CS,Depth
170,425,10,40,70,28,0.94,0,28,5,20,0,38.48,1.63
170,425,10,40,70,28,3.96,100,28,5,20,0,38.48,3.08
175,318,10,40,70,28,0.94,0,28,5,20,0,38.48,8.66
175,318,10,40,70,28,4.38,100,28,5,20,0,53.3,10.28
175,318,10,40,70,28,3.3,100,28,5,20,0,38.48,10.16
175,318,10,40,70,28,3.96,100,28,5,20,0,38.48,10.16
175,318,10,40,70,28,4.96,100,28,5,20,0,38.48,9.66
175,318,10,40,70,28,4.08,100,28,5,20,0,23.18,10.4
180,257,10,40,70,28,0.94,0,28,5,20,0,38.48,15.1
180,257,10,40,70,28,3.96,100,28,5,20,0,38.48,17.31
180,275,3.5,20,60,14,0.61,0,28,5,20,0,18.54,7.9
180,275,3.5,20,60,28,0.61,0,28,5,20,0,18.54,12.54
180,275,3.5,20,60,56,0.61,0,28,5,20,0,18.54,17.39
180,275,3.5,20,60,84,0.61,0,28,5,20,0,18.54,20.06
180,275,3.5,20,60,112,0.61,0,28,5,20,0,18.54,22.05
180,275,3.5,20,60,140,0.61,0,28,5,20,0,18.54,23.59
180,275,3.5,20,60,14,2.02,30,28,5,20,0,18.13,9.68
180,275,3.5,20,60,28,2.02,30,28,5,20,0,18.13,13.99
180,275,3.5,20,60,56,2.02,30,28,5,20,0,18.13,18.53
180,275,3.5,20,60,84,2.02,30,28,5,20,0,18.13,21.15
180,275,3.5,20,60,112,2.02,30,28,5,20,0,18.13,22.96
180,275,3.5,20,60,140,2.02,30,28,5,20,0,18.13,24.36
180,295,3.5,20,60,14,2.96,50,28,5,20,0,18.48,8.54
180,295,3.5,20,60,28,2.96,50,28,5,20,0,18.48,12.58
180,295,3.5,20,60,56,2.96,50,28,5,20,0,18.48,16.57
180,295,3.5,20,60,84,2.96,50,28,5,20,0,18.48,19.06
180,295,3.5,20,60,112,2.96,50,28,5,20,0,18.48,20.78
180,295,3.5,20,60,140,2.96,50,28,5,20,0,18.48,22
180,310,3.5,20,60,14,5.3,100,28,5,20,0,17.86,9.72
180,310,3.5,20,60,28,5.3,100,28,5,20,0,17.86,13.9
180,310,3.5,20,60,56,5.3,100,28,5,20,0,17.86,18.12
180,310,3.5,20,60,84,5.3,100,28,5,20,0,17.86,20.65
180,310,3.5,20,60,112,5.3,100,28,5,20,0,17.86,22.24
180,310,3.5,20,60,140,5.3,100,28,5,20,0,17.86,23.77
180,330,3.5,20,60,14,0.61,0,28,5,20,0,22.45,4.75
180,330,3.5,20,60,28,0.61,0,28,5,20,0,22.45,7.54
180,330,3.5,20,60,56,0.61,0,28,5,20,0,22.45,10.36
180,330,3.5,20,60,84,0.61,0,28,5,20,0,22.45,12.06
180,330,3.5,20,60,112,0.61,0,28,5,20,0,22.45,13.17
180,330,3.5,20,60,140,0.61,0,28,5,20,0,22.45,14.13
180,330,3.5,20,60,14,2.02,30,28,5,20,0,23.7,7.73
180,330,3.5,20,60,28,2.02,30,28,5,20,0,23.7,10.66
180,330,3.5,20,60,56,2.02,30,28,5,20,0,23.7,13.48
180,330,3.5,20,60,84,2.02,30,28,5,20,0,23.7,15.18
180,330,3.5,20,60,112,2.02,30,28,5,20,0,23.7,16.36
180,330,3.5,20,60,140,2.02,30,28,5,20,0,23.7,17.29
180,355,3.5,20,60,14,2.96,50,28,5,20,0,24.58,3.97
180,355,3.5,20,60,28,2.96,50,28,5,20,0,24.58,7.58
180,355,3.5,20,60,56,2.96,50,28,5,20,0,24.58,11.17
180,355,3.5,20,60,84,2.96,50,28,5,20,0,24.58,13.29
180,355,3.5,20,60,112,2.96,50,28,5,20,0,24.58,14.84
180,355,3.5,20,60,140,2.96,50,28,5,20,0,24.58,15.91
180,372,3.5,20,60,14,5.3,100,28,5,20,0,19.45,4.35
180,372,3.5,20,60,28,5.3,100,28,5,20,0,19.45,7.99
