CA,W,S,C,NCA,RCA,WA,D,FA,GGBS,SF,MFS,MCS,SP,CS,Q
28,225,642,410,1048,0,1.11,2620,0,0,0,5,20,0,35.09,6287
28,225,642,410,524,506,3.54,2520,0,0,0,5,20,0,30.69,6715
28,225,642,410,0,1017,5.96,2410,0,0,0,5,20,0,27.51,6910
28,225,611,307.5,1048,0,1.11,2620,102.5,0,0,5,20,0,31.48,4204
28,225,611,307.5,524,506,3.54,2520,102.5,0,0,5,20,0,30.11,4710
28,225,611,307.5,0,1017,5.96,2410,102.5,0,0,5,20,0,26.57,4983
28,225,598,266.5,1048,0,1.11,2620,143.5,0,0,5,20,0,29.39,3737
28,225,598,266.5,524,506,3.54,2520,143.5,0,0,5,20,0,26.79,4029
28,225,598,266.5,0,1017,5.96,2410,143.5,0,0,5,20,0,23.25,4633
28,225,530,184.5,1048,0,1.11,2620,225.5,0,0,5,20,0,26.14,3543
28,225,530,184.5,524,506,3.54,2520,225.5,0,0,5,20,0,22.67,3796
28,225,530,184.5,0,1017,5.96,2410,225.5,0,0,5,20,0,19.21,3951
28,205,662,410,1081,0,1.11,2620,0,0,0,5,20,0,39.06,4535
28,205,662,410,865,210,1.64,2610,0,0,0,5,20,0,37.33,4724
28,205,662,410,541,525,2.44,2590,0,0,0,5,20,0,34.01,4934
28,205,662,410,0,1049,3.24,2550,0,0,0,5,20,0,31.33,5249
28,205,618,410,1009,0,1.11,2620,102.5,0,0,5,20,1.8,41.59,2142
28,205,618,410,802,210,1.64,2610,102.5,0,0,5,20,1.8,40.29,2394
28,205,618,410,505,525,2.44,2590,102.5,0,0,5,20,1.8,37.91,2709
28,205,618,410,0,1049,3.24,2550,102.5,0,0,5,20,1.8,36.97,3024
28,160,729,400,1140,0,1.11,2620,0,0,0,5,20,7.8,52.2,2583
28,160,729,400,912,221,1.64,2610,0,0,0,5,20,7.8,50.25,2814
28,160,729,400,570,554,2.44,2590,0,0,0,5,20,7.8,47.15,2982
28,160,729,400,0,1107,3.24,2550,0,0,0,5,20,7.8,42.24,3255
28,160,685,400,1140,0,1.11,2620,102.5,0,0,5,20,8.6,55.38,861
28,160,685,400,912,221,1.64,2610,102.5,0,0,5,20,8.6,53.36,1029
28,160,685,400,570,554,2.44,2590,102.5,0,0,5,20,8.6,50.61,1113
28,160,685,400,0,1107,3.24,2550,102.5,0,0,5,20,8.6,49.6,1302
90,205,662,410,1081,0,1.11,2620,0,0,0,5,20,0,41.59,3273
90,205,662,410,865,210,1.64,2610,0,0,0,5,20,0,40.29,3497
90,205,662,410,541,525,2.44,2590,0,0,0,5,20,0,38.7,3704
90,205,662,410,0,1049,3.24,2550,0,0,0,5,20,0,36.61,3963
90,205,618,410,1009,0,1.11,2620,102.5,0,0,5,20,1.8,52.56,1645
90,205,618,410,802,210,1.64,2610,102.5,0,0,5,20,1.8,51.55,1782
90,205,618,410,505,525,2.44,2590,102.5,0,0,5,20,1.8,51.26,1849
90,205,618,410,0,1049,3.24,2550,102.5,0,0,5,20,1.8,51.62,2021
90,160,729,400,1140,0,1.11,2620,0,0,0,5,20,7.8,56.39,1600
90,160,729,400,912,221,1.64,2610,0,0,0,5,20,7.8,54.29,1842
90,160,729,400,570,554,2.44,2590,0,0,0,5,20,7.8,51.7,2049
90,160,729,400,0,1107,3.24,2550,0,0,0,5,20,7.8,46.57,2221
90,160,685,400,1140,0,1.11,2620,102.5,0,0,5,20,8.6,59.28,895
90,160,685,400,912,221,1.64,2610,102.5,0,0,5,20,8.6,58.77,980
90,160,685,400,570,554,2.44,2590,102.5,0,0,5,20,8.6,57.83,1030
90,160,685,400,0,1107,3.24,2550,102.5,0,0,5,20,8.6,59.64,1097
28,142,724,300,1086,0,1.7,2610,0,130,0,5,20,5.16,30.32,1195.2
28,117,780,210,1170,0,1.7,2610,0,90,0,5,20,3.6,23.83,1909.5
28,142,724,300,760,326,2.48,2590,0,130,0,5,20,5.16,29.24,1296.7
28,142,724,300,543,543,3,2570,0,130,0,5,20,5.16,28.52,1469.6
28,142,724,300,0,1086,4.3,2530,0,130,0,5,20,5.16,27.08,2044.8
28,142,724,300,760,326,3.44,2530,0,130,0,5,20,5.16,25.99,2247.8
28,142,724,300,543,543,4.6,2475,0,130,0,5,20,5.16,24.91,2443.3
28,142,724,300,0,1086,7.5,2340,0,130,0,5,20,5.16,22.74,2819.2
28,117,780,210,819,351,3.44,2530,0,90,0,5,20,3.6,22.38,2462.1
28,117,780,210,585,585,4.6,2475,0,90,0,5,20,3.6,20.22,2672.6
28,117,780,210,0,1170,7.5,2340,0,90,0,5,20,3.6,16.61,2954.6
28,195,678,390,1107,0,1.11,2620,0,0,0,5,20,0,41.88,4533.16
28,195,640,253.5,1107,0,1.11,2620,136.5,0,0,5,20,0,30.32,3417.43
28,195,658,175.5,1107,0,1.11,2620,0,214.5,0,5,20,0,31.77,3191.16
28,195,678,390,527,539,2.44,2590,0,0,0,5,20,0,41.88,5001.3
28,195,640,253.5,527,539,2.44,2590,136.5,0,0,5,20,0,31.05,2754.23
28,195,658,175.5,527,539,2.44,2590,0,214.5,0,5,20,0,32.49,2184.66
28,195,678,390,0,1078,3.24,2550,0,0,0,5,20,0,41.88,5204.16
28,195,640,253.5,0,1078,3.24,2550,136.5,0,0,5,20,0,26.71,3713.91
