Ref,Eff Water Cement Ratio,Aggregate Cement Ratio,RCA %,Parent Concrete Strength,Nominal Maximum RCA Size,Nominal Max NA Size,Density RCA,Density NA,Water Absorption RCA,Water Absorption NA,Compressive Strength (Mpa),Flexural Strength (Mpa)
0,0.5,2.5,20,0,20,20,0,0,0,0,42.7,0
0,0.5,2.5,50,0,20,20,0,0,0,0,41.3,0
0,0.5,2.3,100,0,20,20,0,0,0,0,41.8,0
0,0.45,3.3,30,0,20,30,2400,2610,4.9,2.5,50.6,5.2
0,0.45,3.3,50,0,20,30,2400,2610,4.9,2.5,50.8,4.9
0,0.45,3.3,100,0,20,30,2400,0,4.9,0,50.2,5
0,0.39,2.6,30,0,20,30,2400,2610,4.9,2.5,60.8,6.1
0,0.39,2.6,50,0,20,30,2400,2610,4.9,2.5,61.2,6.1
0,0.39,2.6,100,0,20,30,2400,0,4.9,0,60.2,6
0,0.29,2.2,30,0,20,30,2400,2610,4.9,2.5,70.2,6.9
0,0.29,2.2,50,0,20,30,2400,2610,4.9,2.5,70.8,7
0,0.29,2.2,100,0,20,30,2400,0,4.9,0,70,7.2
0,0.36,2.3,100,41.6,16,16,0,0,0,0,44.5,0
0,0.36,2.2,100,41.6,16,16,0,0,0,0,38.7,0
0,0.36,2.3,100,50.6,16,16,0,0,0,0,46.1,0
0,0.36,2.2,100,50.6,16,16,0,0,0,0,42.4,0
0,0.36,2.3,100,63.2,16,16,0,0,0,0,52.5,0
0,0.36,2.2,100,63.2,16,16,0,0,0,0,50.7,0
0,0.36,2.3,100,35.6,16,16,0,0,0,0,45.2,0
0,0.36,2.2,100,35.6,16,16,0,0,0,0,42,0
0,0.36,2.3,100,66,16,16,0,0,0,0,49.6,0
0,0.36,2.2,100,66,16,16,0,0,0,0,45.1,0
0,0.36,2.4,100,72.3,16,16,0,0,0,0,54.4,0
0,0.36,2.3,100,72.3,16,16,0,0,0,0,48.2,0
0,0.47,2.5,15,38.4,20,20,2410,2590,5.8,0.9,38.1,0
0,0.45,2.5,30,38.4,20,20,2410,2590,5.8,0.9,37,0
0,0.42,2.4,60,38.4,20,20,2410,2590,5.8,0.9,35.8,0
0,0.38,2.3,100,38.4,20,20,2410,0,5.8,0,34.5,0
0,0.6,4.1,100,0,15,20,2450,0,5.6,0,38.2,0
0,0.45,2.9,100,0,15,20,2450,0,5.6,0,52.8,0
0,0.35,2.3,100,0,15,20,2450,0,5.6,0,62.8,0
0,0.45,3.2,25,0,15,20,0,2670,0,0.5,60.7,0
0,0.45,3.1,50,0,15,20,2450,0,5.6,0,59.4,0
0,0.57,3.1,20,0,20,25,2330,2620,6.3,1.3,44.9,0
0,0.57,3.1,50,0,20,32,2330,2620,6.3,1.3,44.7,0
0,0.57,3,100,0,20,32,2330,0,6.3,0,46.8,0
0,0.57,3.1,20,0,20,32,2330,2620,6.3,1.3,43.2,0
0,0.57,2.9,50,0,20,32,2330,2620,6.3,1.3,39.7,0
0,0.57,2.9,100,0,20,32,2330,0,6.3,0,43.3,0
0,0.57,2.8,20,0,20,20,2330,2620,6.3,1.3,43,0
0,0.57,2.7,50,0,20,20,2330,2620,6.3,1.3,38.1,0
0,0.57,2.9,100,0,20,20,2330,0,6.3,0,39.1,0
[7],0.5,2.4,100,0,25,20,0,0,0,0,30.2,0
0,0.5,2.3,100,0,25,20,0,0,0,0,36.2,0
0,0.7,3.3,100,0,25,20,0,0,0,0,27.7,0
0,0.7,3.2,100,0,25,20,0,0,0,0,20.4,0
0,0.43,2.9,33,0,32,19,2520,2820,9.3,0.4,34.1,0
0,0.43,2.8,53,0,32,19,2520,2820,9.3,0.4,29.6,0
0,0.43,2.8,72,0,32,19,2520,2820,9.3,0.4,30.3,0
0,0.43,2.7,100,0,32,19,2520,0,9.3,0,26.7,0
0,0.37,2.9,30,0,32,32,2442,2786,6,0.3,37.2,5
0,0.34,2.8,50,0,32,32,2442,2786,6,0.3,37.8,5.2
0,0.38,2,70,0,32,32,2442,2786,6,0.3,36.7,5.1
0,0.27,2.7,100,0,32,32,2442,0,6,0,35.2,4.9
0,0.55,3.9,25,0,25,19,2430,2670,4.4,0.9,42,0
0,0.52,3.6,50,0,25,19,2430,2670,4.4,0.9,41,0
0,0.5,3.5,100,0,25,19,2430,0,4.4,0,40,0
0,0.55,3.9,25,0,25,19,2430,2670,4.5,0.9,38.8,0
0,0.52,3.6,50,0,25,19,2430,2670,4.5,0.9,39.4,0
0,0.5,3.5,100,0,25,19,2430,0,4.5,0,38.3,0
0,0.42,3.2,10,0,20,25,2165,2564,6.8,0.8,62.2,0
0,0.43,3.4,20,0,20,25,2165,2564,6.8,0.8,58.4,0
0,0.44,3.5,30,0,20,25,2165,2564,6.8,0.8,61.3,0
0,0.45,3.7,50,0,20,25,2165,2564,6.8,0.8,60.8,0
0,0.45,4.4,100,0,20,25,2165,0,6.8,0,61,0
0,0.49,2.5,20,0,20,20,2570,2620,3.5,1.1,45.3,0
0,0.48,2.5,50,0,20,20,2570,2620,3.5,1.1,42.5,0
0,0.46,2.5,80,0,20,20,2570,2620,3.5,1.1,39.2,0
0,0.45,2.5,100,0,20,20,2570,0,3.5,0,37.1,0
0,0.49,3.9,100,0,16,20,2270,0,0,0,34.6,0
0,0.36,2.2,100,0,16,20,2270,0,0,0,56.4,0
0,0.49,4.4,100,0,16,25,2780,0,0,0,40.1,0
0,0.36,2.3,100,0,16,25,2780,0,0,0,60.2,0
0,0.49,4.2,100,0,16,16,2565,0,0,0,35.3,0
0,0.36,2.4,100,0,16,16,2565,0,0,0,57.5,0
0,0.41,3.3,30,0,32,22,2449,2788,6,0.3,31,4.6
0,0.38,3.2,50,0,32,22,2449,2788,6,0.3,29.3,4.4
0,0.36,3.1,70,0,32,22,2449,2788,6,0.3,28.4,4.4
0,0.32,3,100,0,32,22,2449,0,6,0,27.2,4.2
0,0.45,2.8,20,0,20,19,2570,2620,3.5,1.1,62.4,0
0,0.45,2.7,50,0,20,19,2570,2620,3.5,1.1,55.8,0
0,0.45,2.7,100,0,20,32,2570,0,3.5,0,42,0
0,0.55,2.5,20,0,20,32,2570,2620,3.5,1.1,45.3,0
0,0.55,2.5,50,0,20,32,2570,2620,3.5,1.1,42.5,0
0,0.55,2.5,100,0,20,32,2570,0,3.5,0,38.1,0
0,0.65,3.1,100,0,19,25,2390,0,4.4,0,22.1,0
0,0.5,2.9,100,0,19,25,2390,0,4.4,0,25.1,0
0,0.48,2.8,100,0,19,25,2390,0,4.4,0,27.2,0
0,0.43,2.6,100,0,19,25,2390,0,4.4,0,28.7,0
0,0.4,2.4,100,0,19,19,2390,0,4.4,0,29.5,0
0,0.35,3.1,100,0,32,25,2512,0,6.3,0,24.6,0
0,0.49,3.1,100,0,32,25,2670,0,1.8,0,26.9,0
0,0.31,2.7,100,0,32,32,2512,0,6.3,0,30.2,0
0,0.43,2.7,100,0,32,32,2670,0,1.8,0,34.2,0
0,0.28,2.4,100,0,32,32,2512,0,6.3,0,35.5,0
0,0.39,2.4,100,0,32,32,2670,0,1.8,0,38.4,0
0,0.67,3.9,100,0,30,10,2520,0,3.8,0,18,0
0,0.67,3.9,100,0,30,10,2510,0,3.9,0,15.4,0
0,0.35,4.3,100,0,30,10,2520,0,3.8,0,36.4,0
0,0.36,2.1,100,0,30,10,2510,0,3.9,0,35.7,0
0,0.34,1.9,100,0,30,19,2520,0,3.8,0,44.4,0
0,0.34,2.2,100,0,30,30,2510,0,3.9,0,43.8,0
0,0.41,3.3,30,0,32,22,2449,2788,6,0.3,31,4.6
0,0.38,3.2,50,0,32,22,2449,2788,6,0.3,29.3,4.4
0,0.36,3.1,70,0,32,22,2449,2788,6,0.3,28.4,4.4
0,0.32,3,100,0,32,25,2449,0,6,0,27.2,4.2
0,0.55,2.6,20,0,20,20,2580,2620,3.5,1.1,45.3,0
0,0.55,2.5,50,0,20,20,2580,2620,3.5,1.1,42.5,0
0,0.55,2.5,100,0,20,20,2580,0,3.5,0,38.1,0
0,0.5,2.6,20,0,20,20,2580,2620,3.5,1.1,51.7,0
0,0.5,2.6,50,0,20,20,2580,2620,3.5,1.1,47.1,0
0,0.5,2.6,100,0,20,20,2580,0,3.5,0,43.4,0
0,0.45,2.8,20,0,20,20,2580,2620,3.5,1.1,62.4,0
0,0.45,2.7,50,0,20,20,2580,2620,3.5,1.1,56.8,0
0,0.45,2.5,100,0,20,20,2580,0,3.5,0,52.1,0
0,0.4,2.8,20,0,20,20,2580,2620,3.5,1.1,69.6,0
0,0.4,2.8,50,0,20,20,2580,2620,3.5,1.1,65.3,0
0,0.4,2.8,100,0,20,20,2580,0,3.5,0,58.5,0
0,0.5,2.9,30,0,25,20,2530,2600,1.9,1.4,36.7,4
0,0.5,2.9,50,0,25,20,2530,2600,1.9,1.4,38,3.7
0,0.5,2.8,100,0,25,32,2530,0,1.9,0,36,3.5
