Ref,Water kg/m^3,Cement kg/m^3,Sand,NCA,RCA,SP,Dia Max,Density RCA,W RCA,UCS
[1],165,370,650,850.5,364.5,2.22,20,2400,4.9,50.6
,165,370,650,607.5,607.5,2.22,20,2400,4.9,50.8
,165,370,650,0,1215,2.22,20,2400,4.9,50.2
,165,460,575,850.5,364.5,2.22,20,2400,4.9,60.8
,165,460,575,607.5,607.5,2.22,20,2400,4.9,61.2
,165,460,575,0,1215,2.22,20,2400,4.9,60.2
,165,560,495,850.5,364.5,2.59,20,2400,4.9,70.2
,165,560,495,607.5,607.5,2.59,20,2400,4.9,70.8
,165,560,495,0,1215,2.59,20,2400,4.9,70
[2],207.6,400,662,863,153,0,20,2410,5.8,38.1
,207.6,400,662,697,298,0,20,2410,5.8,37
,207.6,400,662,383,573,0,20,2410,5.8,35.8
,207.6,400,662,0,903,0,20,2410,5.8,34.5
[3],217,353,660,861,209,0,20,2330,6.3,44.9
,229,353,647,527,513,0,20,2330,6.3,44.7
,241,353,625,0,993,0,20,2330,6.3,46.8
,230,353,661,853,202,0,20,2330,6.3,43.2
,247,353,647,524,496,0,20,2330,6.3,39.7
,271,353,625,0,959,0,20,2330,6.3,43.3
,206,353,661,864,216,0,20,2330,6.3,43
,207,353,649,531,531,0,20,2330,6.3,38.1
[4],165,300,765,905,267,4.98,25,2430,4.4,42
,165,318,739,608,537,6.042,25,2430,4.4,41
,162,325,683,0,1123,6.175,25,2430,4.4,40
[5],160.6,380,598,1182,52,4.9,20,2165,6.8,62.2
,165.4,380,529,1175,103,4.9,20,2165,6.8,58.4
,170.2,380,460,1168,154,4.9,20,2165,6.8,61.3
,175.6,380,327,1162,254,4.9,20,2165,6.8,60.8
,180.9,380,0,1162,509,4.9,20,2165,6.8,61
[6],225,410,642,840,204,0,20,2570,3.5,45.3
,225,410,642,524,506,0,20,2570,3.5,42.5
,225,410,642,210,814,0,20,2570,3.5,39.2
,225,410,642,0,1017,0,20,2570,3.5,37.1
[7],180,400,708,886,215,0,20,2570,3.5,62.4
,180,400,708,554,538,0,20,2570,3.5,55.8
,180,400,708,0,1075,0,20,2570,3.5,42
,225,410,642,840,204,0,20,2570,3.5,45.3
,225,410,642,524,506,0,20,2570,3.5,42.5
,225,410,642,0,1017,0,20,2570,3.5,38.1
[8],234,360,705,0,1100,0,19,2390,4.4,22.1
,190,380,705,0,1100,0,19,2390,4.4,25.1
,192,400,705,0,1100,0,19,2390,4.4,27.2
,181,420,705,0,1100,0,19,2390,4.4,28.7
,184,460,705,0,1100,0,19,2390,4.4,29.5
[9],178,264,835,0,1030,0,30,2520,3.8,18
,174,262,830,0,1020,0,30,2510,3.9,15.4
,148,427,760,0,1000,4.2,30,2520,3.8,36.4
,153,423,755,0,990,4.1,30,2510,3.9,35.7
,152,443,855,0,885,3.9,30,2520,3.8,44.4
,225,410,642,840,204,0,20,2580,3.5,45.3
[10],225,410,642,524,506,0,20,2580,3.5,42.5
,225,410,642,0,1017,0,20,2580,3.5,38.1
,205,410,662,865,210,0,20,2580,3.5,51.7
,205,410,662,541,525,0,20,2580,3.5,47.1
,205,410,662,0,1049,0,20,2580,3.5,43.4
,180,400,708,886,215,5.6,20,2580,3.5,62.4
,180,400,708,554,538,5.6,20,2580,3.5,56.8
,180,400,708,0,1075,5.6,20,2580,3.5,52.1
,160,400,729,912,221,7.8,20,2580,3.5,69.6
,160,400,729,570,554,7.8,20,2580,3.5,65.3
,160,400,729,0,1107,7.8,20,2580,3.5,58.5
[11],175,350,730,711,297,1.68,25,2530,1.9,36.7
,175,350,730,508,494,1.68,25,2530,1.9,38
,175,350,730,0,989,1.68,25,2530,1.9,36
,175,350,730,508,469,1.68,25,2400,6.2,30.4
,175,350,730,0,938,1.68,25,2400,6.2,29.5
[12],190,380,744.45,756.97,189.24,2.66,20,2338,5.2,47.4
,190,380,709.54,471.13,471.12,2.66,20,2338,5.2,47.3
,190,380,714.56,0,874.04,5.32,20,2338,5.2,54.8
,140,350,732,519,556,4.2,12,2420,6.8,43.3
[13],153,340,723,512,549,3.4,12,2400,6.8,39.6
,165,330,715,507,543,2.64,12,2400,6.8,38.1
,176,320,708,502,537,1.92,12,2400,6.8,34.5
,186,310,702,497,533,1.24,12,2400,6.8,31.6
,140,350,732,553,523,4.2,22,2420,8.8,46.1
,153,340,723,547,517,3.4,22,2420,8.8,45.8
,165,330,715,541,511,2.64,22,2420,8.8,39.9
,176,320,708,535,506,1.92,22,2420,8.8,36.3
,186,310,702,531,501,1.24,22,2420,8.8,34.7
[14],200,270,750,675,200,1.08,19,2440,5.8,18.5
,210,270,750,450,400,1.35,19,2440,5.8,18
,220,270,750,225,600,1.62,19,2440,5.8,16.5
,165,370,865,760,230,1.48,19,2440,5.8,33
,165,370,865,505,455,1.85,19,2440,5.8,34.5
,165,370,865,250,680,2.59,19,2440,5.8,34
[15],178.5,275,938.05,723.07,180.77,1.925,16,2400,5,31.7
,178.5,275,962.73,423.77,423.77,1.925,16,2400,5,32.4
,178.5,275,1005.18,0,756.46,1.925,16,2400,5,30.1
,190,380,794.31,750.04,187.57,2.66,16,2400,5,43.7
,190,380,811.37,443.71,443.71,2.66,16,2400,5,37.5
,190,380,838.29,0,807.97,2.66,16,2400,5,40.5
[15],151,335,630,414,720,1.266,19,2420,5.4,41.4
,156,349,888,0,792,1.67616,19,2420,5.4,43.9
