Ref,Eff Water Cement Ratio,Aggregate Cement Ratio,RCA %,Nominal Maximum RCA Size,Nominal Max NA Size,Density RCA,Density NA,Water Absorption RCA,Water Absorption NA,Compressive Strength (Mpa),Flexural Strength (Mpa)
[1],0.5,2.6,0,20,20,0,0,0,0,42.8,0
,0.5,2.5,20,20,20,0,0,0,0,42.7,0
,0.5,2.5,50,20,20,0,0,0,0,41.3,0
,0.5,2.3,100,20,20,0,0,0,0,41.8,0
[2],0.45,3.3,0,20,30,0,2610,0,2.5,51.2,5.2
,0.45,3.3,30,20,30,2400,2610,4.9,2.5,50.6,5.2
,0.45,3.3,50,20,30,2400,2610,4.9,2.5,50.8,4.9
,0.45,3.3,100,20,30,2400,0,4.9,0,50.2,5
,0.39,2.6,0,20,30,0,2610,0,2.5,60.3,6
,0.39,2.6,30,20,30,2400,2610,4.9,2.5,60.8,6.1
,0.39,2.6,50,20,30,2400,2610,4.9,2.5,61.2,6.1
,0.39,2.6,100,20,30,2400,0,4.9,0,60.2,6
,0.29,2.2,0,20,30,0,2610,0,2.5,70.5,7
,0.29,2.2,30,20,30,2400,2610,4.9,2.5,70.2,6.9
,0.29,2.2,50,20,30,2400,2610,4.9,2.5,70.8,7
,0.29,2.2,100,20,30,2400,0,4.9,0,70,7.2
[3],0.36,2.4,0,16,16,0,0,0,0,48.4,0
,0.36,2.3,100,16,16,0,0,0,0,44.5,0
,0.36,2.2,100,16,16,0,0,0,0,38.7,0
,0.36,2.4,0,16,16,0,0,0,0,48.9,0
,0.36,2.3,100,16,16,0,0,0,0,46.1,0
,0.36,2.2,100,16,16,0,0,0,0,42.4,0
,0.36,2.4,0,16,16,0,0,0,0,48.9,0
,0.36,2.3,100,16,16,0,0,0,0,52.5,0
,0.36,2.2,100,16,16,0,0,0,0,50.7,0
,0.36,2.4,0,16,16,0,0,0,0,48.9,0
,0.36,2.3,100,16,16,0,0,0,0,45.2,0
,0.36,2.2,100,16,16,0,0,0,0,42,0
,0.36,2.4,0,16,16,0,0,0,0,48.9,0
,0.36,2.3,100,16,16,0,0,0,0,49.6,0
,0.36,2.2,100,16,16,0,0,0,0,45.1,0
,0.36,2.7,0,16,16,0,0,0,0,52.3,0
,0.36,2.4,100,16,16,0,0,0,0,54.4,0
,0.36,2.3,100,16,16,0,0,0,0,48.2,0
[4],0.47,2.5,0,20,20,0,2590,0,0.9,39,0
,0.47,2.5,15,20,20,2410,2590,5.8,0.9,38.1,0
,0.45,2.5,30,20,20,2410,2590,5.8,0.9,37,0
,0.42,2.4,60,20,20,2410,2590,5.8,0.9,35.8,0
,0.38,2.3,100,20,20,2410,0,5.8,0,34.5,0
