Ref,Water kg/m^3,Cement kg/m^3,Sand,NCA,RCA,SP,Dia Max,Density RCA,W RCA,UCS,W/C,Agg/C,RCA %
[1],165,370,650,850.5,364.5,2.22,20,2400,4.9,50.6,0.445945946,3.283783784,30
,165,370,650,607.5,607.5,2.22,20,2400,4.9,50.8,0.445945946,3.283783784,50
,165,370,650,0,1215,2.22,20,2400,4.9,50.2,0.445945946,3.283783784,100
,165,460,575,850.5,364.5,2.22,20,2400,4.9,60.8,0.358695652,2.641304348,30
,165,460,575,607.5,607.5,2.22,20,2400,4.9,61.2,0.358695652,2.641304348,50
,165,460,575,0,1215,2.22,20,2400,4.9,60.2,0.358695652,2.641304348,100
,165,560,495,850.5,364.5,2.59,20,2400,4.9,70.2,0.294642857,2.169642857,30
,165,560,495,607.5,607.5,2.59,20,2400,4.9,70.8,0.294642857,2.169642857,50
,165,560,495,0,1215,2.59,20,2400,4.9,70,0.294642857,2.169642857,100
[2],207.6,400,662,863,153,0,20,2410,5.8,38.1,0.519,2.54,15.05905512
,207.6,400,662,697,298,0,20,2410,5.8,37,0.519,2.4875,29.94974874
,207.6,400,662,383,573,0,20,2410,5.8,35.8,0.519,2.39,59.93723849
,207.6,400,662,0,903,0,20,2410,5.8,34.5,0.519,2.2575,100
[3],217,353,660,861,209,0,20,2330,6.3,44.9,0.614730878,3.031161473,19.53271028
,229,353,647,527,513,0,20,2330,6.3,44.7,0.648725212,2.946175637,49.32692308
,241,353,625,0,993,0,20,2330,6.3,46.8,0.682719547,2.813031161,100
,230,353,661,853,202,0,20,2330,6.3,43.2,0.651558074,2.988668555,19.14691943
,247,353,647,524,496,0,20,2330,6.3,39.7,0.699716714,2.889518414,48.62745098
,271,353,625,0,959,0,20,2330,6.3,43.3,0.767705382,2.716713881,100
,206,353,661,864,216,0,20,2330,6.3,43,0.583569405,3.059490085,20
,207,353,649,531,531,0,20,2330,6.3,38.1,0.586402266,3.008498584,50
[4],165,300,765,905,267,4.98,25,2430,4.4,42,0.55,3.906666667,22.78156997
,165,318,739,608,537,6.042,25,2430,4.4,41,0.518867925,3.600628931,46.89956332
,162,325,683,0,1123,6.175,25,2430,4.4,40,0.498461538,3.455384615,100
[5],160.6,380,598,1182,52,4.9,20,2165,6.8,62.2,0.422631579,3.247368421,4.213938412
,165.4,380,529,1175,103,4.9,20,2165,6.8,58.4,0.435263158,3.363157895,8.059467919
,170.2,380,460,1168,154,4.9,20,2165,6.8,61.3,0.447894737,3.478947368,11.64901664
,175.6,380,327,1162,254,4.9,20,2165,6.8,60.8,0.462105263,3.726315789,17.93785311
,180.9,380,0,1162,509,4.9,20,2165,6.8,61,0.476052632,4.397368421,30.46080192
[6],225,410,642,840,204,0,20,2570,3.5,45.3,0.548780488,2.546341463,19.54022989
,225,410,642,524,506,0,20,2570,3.5,42.5,0.548780488,2.512195122,49.12621359
,225,410,642,210,814,0,20,2570,3.5,39.2,0.548780488,2.497560976,79.4921875
,225,410,642,0,1017,0,20,2570,3.5,37.1,0.548780488,2.480487805,100
[7],180,400,708,886,215,0,20,2570,3.5,62.4,0.45,2.7525,19.52770209
,180,400,708,554,538,0,20,2570,3.5,55.8,0.45,2.73,49.26739927
,180,400,708,0,1075,0,20,2570,3.5,42,0.45,2.6875,100
,225,410,642,840,204,0,20,2570,3.5,45.3,0.548780488,2.546341463,19.54022989
,225,410,642,524,506,0,20,2570,3.5,42.5,0.548780488,2.512195122,49.12621359
,225,410,642,0,1017,0,20,2570,3.5,38.1,0.548780488,2.480487805,100
