C,W,NCA,RCA,SF,WA,D,CT,SO4,IT,WDT,DDT,DT,Cycle,CS,MCS,MCS,SP,K
350,176,791,0,140,1.3,2580,1,5,1,24,0,0,0,48.18,3,15,7,1
350,176,791,0,140,1.3,2580,1,5,1,24,0,0,90,48.18,3,15,7,0.93
350,176,791,0,140,1.3,2580,1,5,1,24,0,0,180,48.18,3,15,7,0.83
350,176,791,0,140,1.3,2580,1,5,1,24,0,0,360,48.18,3,15,7,0.76
350,176,0,791,140,2.5,2540,1,5,1,24,0,0,0,51.43,3,15,7,1
350,176,0,791,140,2.5,2540,1,5,1,24,0,0,90,51.43,3,15,7,0.81
350,176,0,791,140,2.5,2540,1,5,1,24,0,0,180,51.43,3,15,7,0.75
350,176,0,791,140,2.5,2540,1,5,1,24,0,0,360,51.43,3,15,7,0.59
420,210,292,0,200,1.3,2580,1,5,1,24,0,0,0,48.77,3,15,8.4,1
420,210,292,0,200,1.3,2580,1,5,1,24,0,0,90,48.77,3,15,8.4,0.78
420,210,292,0,200,1.3,2580,1,5,1,24,0,0,180,48.77,3,15,8.4,0.71
420,210,292,0,200,1.3,2580,1,5,1,24,0,0,360,48.77,3,15,8.4,0.6
420,210,0,292,200,2.5,2540,1,5,1,24,0,0,0,54.97,3,15,8.4,1
420,210,0,292,200,2.5,2540,1,5,1,24,0,0,90,54.97,3,15,8.4,0.84
420,210,0,292,200,2.5,2540,1,5,1,24,0,0,180,54.97,3,15,8.4,0.64
420,210,0,292,200,2.5,2540,1,5,1,24,0,0,360,54.97,3,15,8.4,0.58
350,176,791,0,140,1.3,2580,1,5,2,4,20,60,0,48.33,3,15,7,1
350,176,791,0,140,1.3,2580,1,5,2,4,20,60,60,48.33,3,15,7,0.62
350,176,791,0,140,1.3,2580,1,5,2,4,20,60,90,48.33,3,15,7,0.41
350,176,791,0,140,1.3,2580,1,5,2,4,20,60,180,48.33,3,15,7,0.19
350,176,0,791,140,2.5,2540,1,5,2,4,20,60,0,51.67,3,15,7,1
350,176,0,791,140,2.5,2540,1,5,2,4,20,60,60,51.67,3,15,7,0.76
350,176,0,791,140,2.5,2540,1,5,2,4,20,60,90,51.67,3,15,7,0.47
350,176,0,791,140,2.5,2540,1,5,2,4,20,60,180,51.67,3,15,7,0.25
420,210,292,0,200,1.3,2580,1,5,2,4,20,60,0,49,3,15,8.4,1
420,210,292,0,200,1.3,2580,1,5,2,4,20,60,60,49,3,15,8.4,0.6
